2016-06-14 12:09:44,716 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 12:28:25,517 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 12:29:32,027 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:09:01,614 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:09:39,258 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:09:55,130 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:23:21,289 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:23:35,656 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:30:09,377 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-14 14:33:16,231 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
